security,forecast_periods,mse,tu,mase,mape,rmse_return,nrmse_return,accuracy,precision,recall,fscore
SLB,60,64.87316740286613,1.1368268543551654,1.0534961384568613,10.99590028153948,13.143207173054796,1.3193789140058791,0.4985374007521939,0.4939914163090129,0.9820819112627986,0.6573386636207882
SO,1,0.16757224677558438,1.0562335887102623,1.022897091449302,0.7047265884974716,0.9628787802925538,1.3979046584694579,0.5232511120097049,0.5439624853458382,0.6982693754702785,0.6115321252059309
SO,5,0.7185346190248328,1.0089758594222538,0.9982883872914736,1.5126795238941004,1.9958434709304151,1.3204490479434123,0.5630522088353414,0.5757575757575758,0.9148639218422888,0.7067385444743935
SO,10,1.3287067412707927,1.0382478355872231,1.0057396302984691,2.1013088420038484,2.776030155098545,1.3288945848476954,0.5977428456267634,0.6,0.9851951547779272,0.7457972491085074
SO,30,3.701766729627473,0.9642320392853828,0.9526957409399326,3.6214015814021674,4.6981252011528465,1.2362150584750784,0.6702040816326531,0.6706219312602292,0.9981729598051156,0.8022515907978464
SO,60,6.7965601958173885,0.9233346591299784,0.9085907162017388,5.067422075916569,6.497057765242901,1.1618261732579904,0.7053907229419141,0.7053907229419141,1.0,0.8272482234746387
SPG,1,2.835982575355884,1.0279660900216008,1.0042892789217144,0.9823516156286186,1.3769251630193466,1.4101741277931377,0.5333067411248504,0.5467217346411978,0.7838638045891931,0.6441605839416058
SPG,5,13.76616159918228,1.0938916717332905,1.0249667816224954,2.154772231101334,2.9048415669951924,1.3829602991526064,0.547780887644942,0.5528154541718043,0.9690201729106628,0.7040041873855012
SPG,10,26.687369816424432,1.105507949125291,1.0253026751033678,3.0043348739291185,3.8963348765038868,1.3307443785444577,0.5780810919309515,0.5785425101214575,0.9930507296733844,0.7311332821693528
SPG,30,77.26668968344565,1.2587718138781765,1.113010396196439,5.135456758548383,6.322958437599522,1.3417939259296958,0.5754486133768353,0.5754486133768353,1.0,0.7305203209940461
SPG,60,175.30085301299042,1.6393656477470009,1.1744575917644042,7.297603435528772,9.059269488782977,1.3635955630547834,0.6489761805265357,0.6489761805265357,1.0,0.7871262037506336
SPY,1,3.4592802203896387,1.011407771485538,1.0123576131463798,0.66018000825082,0.9689826342946344,1.487298791314123,0.5081967213114754,0.5573294629898403,0.553314121037464,0.5553145336225597
SPY,5,15.587660094118789,1.0060720837314148,0.9918848948986012,1.4674503479194976,2.037116233345441,1.3838160482871895,0.5305877648940424,0.6175324675324675,0.619140625,0.6183355006501949
SPY,10,28.98239354488237,1.0046538643566787,0.973150636491102,1.9932185842965269,2.700827489070201,1.3281413629365524,0.5658105939004815,0.6400425985090522,0.7475124378109452,0.6896156052782558
SPY,30,63.684150229390056,0.9246924577130228,0.9361437629731626,3.2405727212604765,4.1496947862550755,1.1894535711621177,0.6824296779453729,0.7180636485880771,0.9143835616438356,0.8044187798142105
SPY,60,106.54181558232105,0.802416952167131,0.8590179822847267,4.334270638245323,5.5927860792855615,1.0771145473044177,0.7709987463435019,0.7914856646394439,0.964021164021164,0.8692748091603053
TGT,1,1.0618990594758548,1.0209284179529714,1.0112518856990822,1.0279245680136837,1.5397834151154948,1.5158973031304162,0.5201596806387225,0.5385185185185185,0.5566615620214395,0.5474397590361446
TGT,5,5.540943095324856,1.0314527492693315,1.0106165452970994,2.377495566239093,3.4515086974215903,1.4601568556651396,0.5416333066453163,0.5728813559322034,0.6213235294117647,0.5961199294532628
TGT,10,11.458084882467618,1.0203159028611557,1.011137138367949,3.4412568683554188,4.922205076102252,1.4341759618600454,0.53330658105939,0.5614143920595533,0.6649522409992652,0.6088126471577531
TGT,30,33.70185136179172,1.0031761575018738,1.0065856519008922,6.37170553992806,8.48224022804592,1.315643446758227,0.5417855686913983,0.561127029608405,0.8514492753623188,0.6764536557282672
TGT,60,58.768207268536116,0.9544371320532172,0.9759436007785418,8.76442696062909,11.30934819222968,1.2277518439692,0.6036789297658863,0.6219081272084805,0.9386666666666666,0.7481402763018065
TMO,1,5.162172777330247,1.0262834543474748,1.0063359985892315,1.0520736350330615,1.4666027781603632,1.4043448554548132,0.502998800479808,0.5286624203821656,0.6226556639159789,0.5718222528418876
TMO,5,22.622792105719448,1.0040457556059594,0.9979686254544384,2.2770446108471334,3.0158263977502044,1.3214107883538473,0.5355715427657873,0.5681362725450901,0.7907949790794979,0.6612244897959184
TMO,10,39.45149719090481,0.990997421544056,0.9868807596083412,3.183908662067773,4.127137937928587,1.2887453109509657,0.5644837284049821,0.5867992766726944,0.8841961852861036,0.7054347826086956
TMO,30,85.17232020492621,0.8741369707551891,0.93509467856283,5.411853185458442,7.000259465137862,1.2223287546050596,0.6657154504688138,0.6690024732069251,0.9896341463414634,0.7983275946876537
TMO,60,121.99394882947986,0.6755511499982999,0.8423902478512918,7.310752437397432,9.53298404266433,1.1053072748065242,0.7329711659005432,0.7343946376204441,0.997155858930603,0.8458383594692401
TXN,1,1.2281844730452358,1.027945481919505,1.0096463131665994,1.1378161130766755,1.5950316697134197,1.413634107278558,0.5126760563380282,0.5457721872816212,0.5819672131147541,0.5632888568337541
TXN,5,4.976736083725519,1.018379233228654,0.9969936388714068,2.449368963541197,3.228156540193225,1.3069955601998993,0.5372297838270617,0.5900383141762452,0.6425591098748261,0.6151797603195739
TXN,10,8.860557993262828,1.0221161104399734,0.9971872678500048,3.3542341092411623,4.390157138977776,1.3012359557264923,0.5270975511842634,0.5816554809843401,0.7074829931972789,0.6384284837323512
TXN,30,22.520804592373143,0.9750319646366672,0.9899656327932383,5.926276103876929,7.748164183175915,1.251276559565421,0.5795269168026101,0.6329177057356609,0.8113810741687979,0.7111235640235358
TXN,60,39.432962665175936,0.8994931823081072,0.9371688084607652,8.455750434687909,11.013619628070213,1.1685809462031225,0.6548265775177602,0.7340637450199203,0.8346545866364666,0.7811340752517224
T,1,0.09450938591512506,1.0184944715460107,1.0102661258796657,0.7889128920526418,1.0942361557755107,1.4020744421442837,0.5082761404925313,0.5396174863387978,0.5922038980509745,0.5646890636168691
T,5,0.4343635344153893,1.0032266112859796,0.9990227509659596,1.7652139854702402,2.3530190692999096,1.331076556506232,0.5237138263665595,0.5585135884636716,0.7213467048710601,0.6295717411691153
T,10,0.8025960218662779,1.0061498081531417,1.001858476927984,2.5229174106354857,3.2159583156106737,1.2710805279825228,0.5012087026591459,0.535358826610791,0.7443554260742898,0.6227909811090798
